Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
7,10,8,Right-handed,On your back,0
5,4,7.5,Right-handed,On your back,2
7,3,8,Right-handed,On your back,0
5,4,6,Right-handed,On your right side,0
3,2,6,Right-handed,On your left side,0
6,7,6.5,Right-handed,On your left side,1
6,10,7,Right-handed,On your left side,2
7,5,6,Right-handed,On your left side,7
9,10,7,Right-handed,On your stomach,1
8,10,7,Right-handed,On your back,0
5,4,6,Right-handed,On your left side,0
9,10,8,Right-handed,On your left side,4
4,3,7,Right-handed,On your left side,0
8,5,8,Right-handed,On your right side,4
6,5,6,Right-handed,On your left side,3
6,10,6,Right-handed,On your right side,6
8,15,7,Right-handed,On your left side,9
9,15,7,Right-handed,On your back,0
6,3,7,Right-handed,On your back,0
8,8,6,Right-handed,On your back,0
5,5,8,Right-handed,On your back,0
8,3,7,Right-handed,On your right side,0
7,10,7,Left-handed,On your back,0
2,11,6,Right-handed,On your left side,2
3,5,7,Right-handed,On your left side,2
7,1,7,Right-handed,On your right side,0
7,5,7,Right-handed,On your left side,4
3,5,6,Right-handed,On your right side,0
8,4,8,Right-handed,On your right side,0
8,15,6,Right-handed,On your left side,2
6,4,9,Right-handed,On your back,0
7,7,6,Right-handed,On your stomach,4
8,7,8,Right-handed,On your back,2
8,7,8,Right-handed,On your right side,1
7,4,7,Right-handed,On your left side,2
9,10,7,Right-handed,On your back,0
8,10,5,Right-handed,On your left side,10
9,45,6,Left-handed,On your left side,2
6,10,7.5,Right-handed,On your back,0
6,5,7,Right-handed,On your right side,1
7,10,8,Right-handed,On your right side,0
3,7,6,Right-handed,On your left side,0
4,6,6,Right-handed,On your left side,0
3,0,7,Right-handed,On your left side,0
5,3,5.5,Right-handed,On your right side,2
5,6,7,Right-handed,On your right side,2
5,5,8,Right-handed,On your stomach,0
8,9,8,Right-handed,On your back,2
5,5,6,Right-handed,On your right side,0
4,2,7,Right-handed,On your right side,5
8,10,7,Right-handed,On your right side,0
9,6,8,Right-handed,On your right side,4
4,8,7,Right-handed,On your left side,0
8,15,7,Right-handed,On your right side,0
4,8,5,Right-handed,On your left side,0
9,5,8,Right-handed,On your back,5
7,5,7,Right-handed,On your back,0
8,8,7,Right-handed,On your back,1
8,5,7,Left-handed,On your left side,6
8,2,7,Ambidextrous,On your right side,0
7,15,7.5,Right-handed,On your left side,0
8,10,8,Right-handed,On your stomach,3
7,15,7,Right-handed,On your right side,2
7,5,8,Right-handed,On your left side,2
6,10,8,Right-handed,On your left side,7
6,5,7,Right-handed,On your right side,0
8,6,6,Right-handed,On your left side,0
7,15,6,Right-handed,On your left side,4
8,3,7,Right-handed,On your back,0
9,5,7,Right-handed,On your right side,0
3,6,8,Right-handed,On your left side,5
7,4,7,Right-handed,On your back,0
4,3,7,Right-handed,On your right side,0
8,7,8,Right-handed,On your right side,0
9,20,5,Right-handed,On your right side,1
4,5,8,Right-handed,On your back,0
2,5,8,Right-handed,On your back,2
4,1,7,Right-handed,On your left side,0
6,2,7,Right-handed,On your back,0
9,10,7,Left-handed,On your right side,4
8,10,8,Right-handed,On your left side,0
2,2,6.5,Right-handed,On your right side,0
8,10,8,Right-handed,On your right side,4
3,4,6.5,Right-handed,On your back,2
7,20,8.5,Right-handed,On your stomach,0
9,30,10,Right-handed,On your right side,0
8,8,7.5,Right-handed,On your right side,2
8,20,6,Right-handed,On your left side,0
4,6,7,Right-handed,On your stomach,9
2,4,6,Right-handed,On your back,1
6,4,6,Right-handed,On your right side,2
5,2,6,Right-handed,On your left side,0
8,10,8,Right-handed,On your stomach,0
7,5,8,Right-handed,On your right side,3
4,4,7,Left-handed,On your left side,4
6,6,5,Right-handed,On your back,2
6,10,7,Right-handed,On your back,0
6,6,7,Right-handed,On your right side,2
8,12,6,Right-handed,On your stomach,0
4,5,7,Right-handed,On your right side,2
6,9,8,Right-handed,On your back,1
6,8,7,Right-handed,On your left side,0
5,3,7,Right-handed,On your right side,5
5,3,5,Left-handed,On your left side,1
7,3,7,Left-handed,On your right side,0
8,10,8,Right-handed,On your stomach,0
8,6,7.5,Right-handed,On your stomach,0
7,6,8,Right-handed,On your right side,4
4,6,7,Left-handed,On your right side,2
6,10,7,Right-handed,On your right side,2
9,6,6,Right-handed,On your stomach,2
6,6,6,Right-handed,On your back,2
6,3,10,Right-handed,On your back,0
6,7,6,Right-handed,On your back,0
5,2,8,Right-handed,On your stomach,0
1,5,7,Right-handed,On your back,0
7,3,7,Right-handed,On your right side,4
8,4,7,Right-handed,On your back,2
9,8,6,Right-handed,On your stomach,0
4,5,7,Right-handed,On your back,0
4,2,8,Right-handed,On your left side,0
5,5,8,Left-handed,On your left side,0
3,4,8,Right-handed,On your right side,2
7,8,8,Right-handed,On your left side,0
4,3,6,Right-handed,On your right side,2
6,3,7,Right-handed,On your back,2
4,5,7,Right-handed,On your right side,0
8,10,7,Right-handed,On your right side,0
5,4,7,Right-handed,On your right side,10
3,10,6,Right-handed,On your right side,6
3,5,6,Right-handed,On your left side,10
2,3,9,Left-handed,On your stomach,0
8,12,8,Right-handed,On your stomach,0
10,10,7,Right-handed,On your stomach,0
8,20,7,Right-handed,On your right side,7
7,4,6,Left-handed,On your left side,3
5,2,7,Right-handed,On your left side,4
3,6,6.5,Left-handed,On your right side,0
7,10,6,Right-handed,On your left side,3
6,9,6,Right-handed,On your right side,2
5,7,7,Right-handed,On your stomach,1
4,3,7,Right-handed,On your left side,4
8,7,9,Right-handed,On your right side,4
5,4,6,Right-handed,On your right side,2
9,3,6,Right-handed,On your right side,0
7,8,6,Right-handed,On your left side,11
9,12,8,Right-handed,On your right side,2
7,6,8,Right-handed,On your left side,6
6,5,7,Right-handed,On your right side,2
7,16,7,Right-handed,On your stomach,4
8,10,9,Right-handed,On your right side,4
5,3,7,Right-handed,On your right side,2
4,8,8,Right-handed,On your right side,0
9,4,8,Right-handed,On your left side,0
7,5,7,Right-handed,On your stomach,2
6,3,9,Right-handed,On your left side,2
9,8,7,Right-handed,On your left side,0
8,10,8,Right-handed,On your right side,4
7,7,7,Right-handed,On your back,5
5,6,6,Right-handed,On your left side,0
3,7,7,Left-handed,On your right side,0
3,2,8,Right-handed,On your back,0
4,6,7,Right-handed,On your back,0
6,10,6,Right-handed,On your stomach,0
3,3,8,Right-handed,On your back,0
3,5,7,Left-handed,On your back,0
6,3,6,Right-handed,On your right side,0
7,6,7,Right-handed,On your left side,3
4,4,7,Right-handed,On your right side,1
8,10,7,Right-handed,On your left side,0
5,3,7,Right-handed,On your right side,0
3,5,7,Right-handed,On your right side,7
7,7,7,Left-handed,On your left side,0
4,6,7,Right-handed,On your back,2
2,0,8,Right-handed,On your back,0
4,2,6,Right-handed,On your right side,7
4,4,7,Right-handed,On your left side,2
3,3,7,Right-handed,On your stomach,2
9,10,7,Right-handed,On your right side,11
4,9,6,Right-handed,On your right side,6
8,10,5,Right-handed,On your stomach,0
8,5,6,Right-handed,On your stomach,0
4,10,6,Left-handed,On your right side,0
3,9,8,Right-handed,On your left side,0
4,2,6,Right-handed,On your right side,2
8,5,5,Right-handed,On your left side,2
7,10,7,Right-handed,On your left side,0
8,5,6,Right-handed,On your left side,0
5,5,4,Right-handed,On your stomach,0
4,1,6.7,Right-handed,On your left side,2
8,15,5,Right-handed,On your right side,2
6,3,9,Right-handed,On your right side,0
7,5,7,Right-handed,On your back,0
8,6,6,Right-handed,On your right side,1
5,5,6,Right-handed,On your back,0
9,7,5,Right-handed,On your left side,0
9,7,8,Right-handed,On your left side,3
6,2,7,Right-handed,On your left side,5
7,7,7,Right-handed,On your right side,0
7,2,6,Right-handed,On your stomach,0
4,12,7,Right-handed,On your right side,0
3,3,6,Right-handed,On your right side,2
7,10,8,Right-handed,On your back,0
3,8,7,Right-handed,On your right side,0
8,3,7,Right-handed,On your right side,0
3,8,7.5,Right-handed,On your stomach,0
5,8,7,Right-handed,On your back,0
3,5,7,Right-handed,On your left side,0
5,6,10,Right-handed,On your right side,2
8,8,6,Right-handed,On your back,2
7,5,8,Right-handed,On your right side,0
5,10,6,Right-handed,On your right side,2
9,15,7,Right-handed,On your back,1
9,9,6.5,Right-handed,On your back,2
3,5,6,Left-handed,On your stomach,1
9,3,6,Left-handed,On your right side,0
3,2,6,Right-handed,On your left side,0
5,3,6,Right-handed,On your back,0
3,3,6,Right-handed,On your right side,1
9,25,6,Right-handed,On your right side,6
8,30,5,Right-handed,On your right side,2
2,4,5,Right-handed,On your left side,0
1,2,4,Right-handed,On your right side,14
7,3,6,Right-handed,On your right side,4
9,4,12,Right-handed,On your back,2
7,6,7,Right-handed,On your stomach,4
9,6,7.5,Right-handed,On your back,7
9,7,8,Right-handed,On your right side,4
3,2,6,Right-handed,On your right side,9
4,6,6,Right-handed,On your left side,6
3,5,7,Left-handed,On your back,0
6,9,8,Right-handed,On your stomach,6
6,4,6,Right-handed,On your left side,2
5,5,6,Right-handed,On your left side,0
7,8,7,Right-handed,On your right side,2
7,4,6,Right-handed,On your left side,2
6,6,5,Right-handed,On your stomach,10
4,4,7,Right-handed,On your left side,0
5,6,6,Right-handed,On your left side,0
8,7,7,Right-handed,On your right side,2
5,10,7,Right-handed,On your left side,4
8,7,7,Left-handed,On your right side,0
6,5,7,Right-handed,On your right side,1
6,7,7,Right-handed,On your back,0
7,10,8,Right-handed,On your right side,0
6,15,7,Right-handed,On your right side,0
5,5,7,Right-handed,On your back,0
7,2,8,Right-handed,On your left side,0
7,8,8,Right-handed,On your left side,2
6,10,7.5,Right-handed,On your left side,0
5,6,7,Right-handed,On your left side,0
5,1,7,Right-handed,On your right side,2
8,6,7,Right-handed,On your back,2
8,3,8,Right-handed,On your back,0
5,5,8,Right-handed,On your back,0
6,10,10,Right-handed,On your left side,0
8,8,7,Right-handed,On your right side,3
8,10,6,Right-handed,On your right side,2
6,9,6,Right-handed,On your back,4
8,10,7,Right-handed,On your right side,11
7,20,7,Left-handed,On your stomach,2
7,10,7,Right-handed,On your stomach,0
3,4,7,Right-handed,On your left side,1
6,5,7,Right-handed,On your back,2
6,1,6,Right-handed,On your right side,2
8,5,7,Right-handed,On your back,0
8,10,7,Right-handed,On your right side,2
2,3,5,Right-handed,On your right side,0
4,5,8,Right-handed,On your left side,10
5,10,8,Right-handed,On your left side,0
6,7,9,Right-handed,On your right side,0
9,6,7,Right-handed,On your left side,2
8,2,6,Right-handed,On your left side,0
8,6,7,Right-handed,On your back,2
3,1,6,Right-handed,On your left side,1
6,20,7,Ambidextrous,On your back,0
5,10,6.5,Right-handed,On your back,0
6,4,9,Left-handed,On your right side,0
8,6,8,Right-handed,On your left side,4
6,10,6,Right-handed,On your right side,3
3,10,6,Right-handed,On your left side,0
8,5,6,Right-handed,On your back,0
4,4,7,Right-handed,On your left side,7
9,6,7,Right-handed,On your left side,1
3,5,7,Right-handed,On your stomach,0
7,10,6,Right-handed,On your back,4
7,1,7.5,Right-handed,On your stomach,4
7,4,7,Right-handed,On your stomach,2
3,2,7,Right-handed,On your left side,0
1,2,4,Right-handed,On your left side,0
3,2,7,Right-handed,On your back,0
6,3,6,Right-handed,On your right side,6
9,8,7,Right-handed,On your back,0
6,4,6,Right-handed,On your right side,4
3,5,7,Right-handed,On your back,2
3,5,7,Right-handed,On your right side,2
7,10,7,Right-handed,On your right side,4
5,4,7,Right-handed,On your back,0
7,8,7,Right-handed,On your right side,0
3,2,4,Right-handed,On your left side,2
4,3,7,Right-handed,On your right side,7
7,10,7,Right-handed,On your left side,2
4,5,8,Right-handed,On your back,2
4,4,8,Right-handed,On your right side,2
4,7,7,Right-handed,On your left side,2
5,4,7,Right-handed,On your back,0
5,4,7,Right-handed,On your back,0
7,5,8,Right-handed,On your back,0
4,4,6,Right-handed,On your back,10
5,6,6,Right-handed,On your left side,0
5,6,8,Right-handed,On your stomach,6
3,5,6,Right-handed,On your right side,8
7,15,7,Left-handed,On your left side,0
6,4,5,Right-handed,On your right side,0
5,5,7,Left-handed,On your back,0
3,4,5,Right-handed,On your stomach,4
9,15,7,Right-handed,On your left side,0
3,5,7,Right-handed,On your left side,0
10,6,8,Right-handed,On your left side,1
8,4,8,Right-handed,On your back,2
3,6,7,Right-handed,On your right side,0
6,5,7,Right-handed,On your right side,0
5,1,7,Right-handed,On your back,0
4,2,7,Right-handed,On your right side,0
5,7,7,Right-handed,On your right side,1
5,4,7,Right-handed,On your left side,5
4,4,7.5,Right-handed,On your left side,0
8,4,7,Right-handed,On your back,0
7,5,7,Right-handed,On your right side,0
7,3,8,Right-handed,On your right side,5
5,3,6,Right-handed,On your right side,0
8,9,7,Right-handed,On your left side,0
6,9,8,Left-handed,On your left side,4
6,6,6,Right-handed,On your left side,0
7,20,7,Right-handed,On your right side,0
8,7,6,Right-handed,On your right side,6
6,7,7,Right-handed,On your left side,0
5,12,7,Right-handed,On your right side,2
7,12,6,Right-handed,On your stomach,0
9,6,7,Right-handed,On your right side,0
8,8,7,Right-handed,On your right side,2
8,3,6,Right-handed,On your right side,0
6,5,6,Right-handed,On your left side,2
5,5,5,Right-handed,On your right side,0
7,10,7,Right-handed,On your left side,0
9,5,7,Right-handed,On your stomach,0
3,4,7,Right-handed,On your right side,0
8,5,7,Left-handed,On your left side,0
6,3,9,Right-handed,On your right side,0
1,3,9,Right-handed,On your right side,6
7,7,7,Right-handed,On your stomach,3
5,7,7,Right-handed,On your back,3
6,11,7,Right-handed,On your left side,0
8,8,5,Right-handed,On your left side,0
5,3,6,Right-handed,On your left side,1
7,10,8,Right-handed,On your right side,0
4,2,9,Right-handed,On your left side,1
3,5,7,Right-handed,On your left side,0
5,6,5,Right-handed,On your left side,13
6,3,6,Right-handed,On your back,0
4,6,7,Right-handed,On your back,0
7,10,7,Right-handed,On your left side,1
8,3,8,Left-handed,On your left side,0
8,15,5,Right-handed,On your back,6
6,1,7,Right-handed,On your back,0
8,10,7,Right-handed,On your right side,7
3,4,7,Right-handed,On your left side,0
6,5,10,Left-handed,On your back,0
8,15,6,Right-handed,On your back,0
4,10,9,Right-handed,On your right side,2
3,3,6,Left-handed,On your back,0
5,6,7,Right-handed,On your back,0
7,4,6,Right-handed,On your back,2
8,5,7,Right-handed,On your right side,13
4,1,6,Right-handed,On your left side,0
3,1,6,Ambidextrous,On your left side,2
5,7,6,Right-handed,On your left side,0
6,2,7,Right-handed,On your right side,0
6,10,7,Left-handed,On your right side,0
5,2,5,Right-handed,On your right side,2
5,3,8,Right-handed,On your back,2
9,5,7,Right-handed,On your right side,0
8,20,5,Right-handed,On your right side,2
7,5,8,Right-handed,On your back,2
3,3,8,Right-handed,On your back,0
4,7,8.5,Left-handed,On your right side,0
